Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
OSGEP,0.467594700716274,0.503924413885197,0.670287816153615,12.759873,12.292278,1,1
TIGD4,0.396096834630677,0.503968917675444,0.670291579582556,8.837153,8.441056,1,1
MTTP,0.379186927799196,0.504195029990352,0.670536866410189,8.924467,8.54528,1,1
NIPSNAP1,0.523319444873117,0.504354112672918,0.670692976290303,16.904527,16.381208,1,1
RWDD4,0.499135891037406,0.504662133165267,0.671047102333842,16.29384,15.794705,1,1
DKKL1,0.436972718454713,0.504737508995668,0.67105911062649,10.176813,9.73984,1,1
ANKLE2,0.786412474052899,0.504780467463374,0.67105911062649,25.310588,24.524176,1,1
DNAJC27,-0.386827328676443,0.504796330481839,0.67105911062649,9.785813,10.172641,1,1
AMPH,0.437173575549927,0.504965174352155,0.67122808795703,10.933576,10.496403,1,1
TSPAN18,-0.419935602560361,0.505051992575667,0.671288013270558,9.704008,10.123944,1,1
WDR45B,-0.497296461574786,0.505749218625829,0.672159182976188,13.761609,14.258905,1,1
PAWR,-0.747665416927735,0.505795123747274,0.672164650942011,18.981885,19.72955,1,1
WDR77,-0.620648961648628,0.505850799760388,0.672183101730509,14.030881,14.65153,1,1
CEBPG,0.52778146303061,0.505942021728256,0.672248779634637,16.545512,16.01773,1,1
ZNF700,-0.423209150288187,0.506069461372729,0.672362565398891,11.190145,11.613354,1,1
PICK1,0.414908446747846,0.506342890423823,0.672629081187639,10.142243,9.727335,1,1
H4C1,0.506779908187802,0.506353700262368,0.672629081187639,12.483221,11.976441,1,1
PALD1,-0.456124201481479,0.506460466250527,0.672715347194109,11.313412,11.769536,1,1
ABRAXAS1,0.460106505546047,0.506693415887328,0.672969190844903,11.523397,11.063291,1,1
DENND1A,0.455620915428725,0.506953822274465,0.673259456482742,13.967414,13.511794,1,1
CXCR1,0.430734588835833,0.507355158721694,0.673650311282085,11.192838,10.762104,1,1
GCG,0.439894592177128,0.507358287992339,0.673650311282085,10.694652,10.254758,1,1
SEC22B,-0.440968772291622,0.507373779586619,0.673650311282085,11.934885,12.375854,1,1
CTRC,0.35733711255061,0.507503878834983,0.673767427749225,8.648631,8.291294,1,1
TANK,0.543203262238618,0.507655275622393,0.673860377494922,13.717502,13.174299,1,1
NPIPB3,-1.50685191601731,0.507657684289105,0.673860377494922,52.488755,53.995607,1,1
WASHC5,-0.458770339193114,0.508113410732535,0.674371026520843,12.169289,12.628059,1,1
ATP23,0.38612666541192,0.508126241631814,0.674371026520843,9.041491,8.655365,1,1
SLC44A3,0.399725458967735,0.508271271846178,0.674507849535803,8.917196,8.51747,1,1
UPK1B,0.474393509145592,0.508325282746499,0.674523871602565,12.006635,11.532242,1,1
ATL3,-0.753694213744023,0.508427547296349,0.674603916079399,16.487364,17.241058,1,1
RMI1,0.436006674260804,0.50864293508396,0.674752273953118,10.111334,9.675328,1,1
RBFOX1,0.373209356057522,0.508667434883471,0.674752273953118,8.77127,8.39806,1,1
KIF23,-0.424349111697035,0.508723039339114,0.674752273953118,10.469214,10.893563,1,1
SP5,0.37807116759632,0.508729039841846,0.674752273953118,7.844401,7.46633,1,1
DNER,0.400205242986457,0.508749118765821,0.674752273953118,10.136674,9.736468,1,1
ITGAE,0.356735584131224,0.50887308995802,0.674822946870191,8.536999,8.180263,1,1
MRPS16,0.529384722011258,0.508901765236699,0.674822946870191,16.990027,16.460642,1,1
SAP30,0.377572966838981,0.508928273161864,0.674822946870191,9.123668,8.746095,1,1
HDGF,-0.705072469955581,0.508971350758872,0.674824433732231,23.118478,23.823551,1,1
CHCHD3,0.546675640525237,0.509039475280813,0.674859126311951,18.200537,17.653861,1,1
RHNO1,0.427422304260094,0.509280557617636,0.675090094524891,10.489355,10.061932,1,1
COPS3,-0.509371332791977,0.509297637836672,0.675090094524891,13.842386,14.351757,1,1
RPS16,-2.92240211079478,0.509363195289034,0.675121354184493,100.996,103.918402,1,1
XDH,0.492825371190413,0.509543238344944,0.67530433796474,10.761045,10.268219,1,1
EGFLAM,0.399391446020694,0.509635643244698,0.675371153163692,10.42502,10.025628,1,1
ANGEL2,-0.523853211777896,0.510078168365617,0.675901899818141,9.660639,10.184492,1,1
MALRD1,0.442327582861957,0.510357655916716,0.676125684912898,12.055174,11.612846,1,1
APBB3,-0.611642557047148,0.510426069424165,0.676125684912898,17.629796,18.241439,1,1
ADAMTS20,-0.368424458614679,0.510429929872317,0.676125684912898,7.977463,8.345888,1,1
SGPP1,-0.500118286234649,0.510430083731235,0.676125684912898,13.685305,14.185424,1,1
DDAH1,-0.485586310404896,0.510457236501947,0.676125684912898,11.607583,12.093169,1,1
IFNLR1,0.467330123051935,0.510516972541598,0.676149126017709,9.369509,8.902179,1,1
LASP1,-0.681840522292724,0.510577834049846,0.676174053755267,25.661499,26.343339,1,1
EPRS1,0.3790047691885,0.510708711190154,0.676291693626085,11.047991,10.668987,1,1
CAAP1,0.41980676707767,0.510799248138339,0.676300624355576,11.400473,10.980666,1,1
IZUMO1,0.432674220243054,0.510799551397136,0.676300624355576,10.418966,9.986292,1,1
CD93,0.867679271003038,0.510956361600552,0.676452557410757,21.075959,20.208279,1,1
SPAG7,0.477560815615055,0.511012271446067,0.676470894974365,13.044505,12.566944,1,1
TPBG,0.496797113707574,0.511742392817064,0.677381667852,13.375834,12.879037,1,1
DHX29,-0.421145169980944,0.511816336461734,0.677423794902117,9.585339,10.006484,1,1
ZFP30,0.419223961548026,0.511908086528255,0.677489481092771,12.094239,11.675015,1,1
BMP6,0.392386821355311,0.512311868567436,0.677968084090723,10.779681,10.387294,1,1
TMEM196,0.409607587976199,0.512374595027341,0.677995309454524,9.302347,8.89274,1,1
FAM221B,0.521854567407354,0.512649388296228,0.678303122849336,9.311639,8.789785,1,1
RSRC1,-0.493113758158032,0.513019311394513,0.678736744630201,13.253974,13.747087,1,1
DOCK6,-0.679220291529212,0.513188296473302,0.67890447116932,20.575043,21.254264,1,1
C16orf54,0.40580240657491,0.513304530238749,0.679002390357762,9.56409,9.158287,1,1
TGFBI,0.59728032126915,0.513374415456666,0.679038673496883,12.262768,11.665488,1,1
ZMYM6,-0.45128494939763,0.513483766436018,0.679038673496883,10.562079,11.013364,1,1
BAG3,1.69225605767527,0.513500060489277,0.679038673496883,17.420878,15.728622,1,1
SLC17A3,-0.413811556102566,0.513500832239654,0.679038673496883,8.481677,8.895488,1,1
PDCD5,1.37704971540197,0.513749418113993,0.679195454740204,22.403678,21.026628,1,1
FTMT,-0.386473041764242,0.513755230925864,0.679195454740204,8.412985,8.799458,1,1
VGLL1,-0.347109963324508,0.513787233570874,0.679195454740204,8.044806,8.391916,1,1
