,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
700,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,MNP,Nephron_epithelium,False,NA,NA,"[1.0, 0.8307692307692308]",True,-3.15170077783893,0.00163958384977319,1
22,COL4A3_a1b1 complex,COL4A3,"['ITGA1', 'ITGB1']",Distal_tubules_and_collecting_duct,Mesangial_cells,True,-11.1362155380015,0.0132613800893692,1,False,NA,NA,"[0.3898305084745763, 0.7288135593220338]"
1453,HLA-E_KLRK1,HLA-E,KLRK1,Endothelium,NK cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.10039113428943937
1262,VEGFA_KDR,VEGFA,KDR,Distal_tubules_and_collecting_duct,Endothelium,True,-161.272711131136,1.85543111015361e-13,1,False,NA,NA,0.4316770186335404
1185,JAG1_NOTCH4,JAG1,NOTCH4,Mesangial_cells,Endothelium,False,NA,NA,0.4915254237288136,True,-4.9064196914993605,0.0012356679553589,1
303,CD74_APP,CD74,APP,B cell,Podocytes,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.5366795366795367
130,TGFB1_TGFBR3,TGFB1,TGFBR3,Distal_tubules_and_collecting_duct,Podocytes,False,NA,NA,0.22297297297297294,True,-18.1543589009868,0.0108459579092956,1
189,CD94:NKG2A_HLA-E,"['KLRC1', 'KLRD1']",HLA-E,CD8 T cell,Distal_tubules_and_collecting_duct,False,NA,NA,"[0.15483870967741936, 0.3290322580645161]",True,-56.6277070258774,0.000458079848881171,1
805,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Podocytes,NK cell,False,NA,NA,"[0.9845559845559846, 0.5444015444015444]",True,-3.15170077783893,0.00163958384977319,1
992,SIRPA_CD47,SIRPA,CD47,Podocytes,CD8 T cell,True,-5.34035938616956,0.0190914441331754,1,True,-5.21611639328334,0.00179869684824925,1
169,TGFB1_TGFBR3,TGFB1,TGFBR3,Private,Podocytes,False,NA,NA,0.2495049504950495,True,-18.1543589009868,0.0108459579092956,1
503,CD74_APP,CD74,APP,Private,Proximal_tubular_cells,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.43685300207039335
1009,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,DC,Distal_tubules_and_collecting_duct,False,NA,NA,0.3043478260869565,True,-4.8368024444167315,0.00154622415495639,1
1203,PLXNB2_SEMA4D,PLXNB2,SEMA4D,Distal_tubules_and_collecting_duct,Private,True,-4.08481368770848,0.0272985694750045,1,True,-2.2159663770794,0.00815986438104258,1
1575,CD47_SIRPG,CD47,SIRPG,Private,Private,True,-5.21611639328334,0.00179869684824925,1,False,NA,NA,0.11188118811881187
622,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,CD8 T cell,Mesangial_cells,False,NA,NA,"[1.0, 0.2967741935483871]",True,-3.15170077783893,0.00163958384977319,1
951,CD46_JAG1,CD46,JAG1,NK cell,Endothelium,True,-12.6904585184301,6.27833014443044e-08,1,False,NA,NA,0.11801242236024845
1108,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,MNP,Mast cell,False,NA,NA,0.11648351648351647,True,-4.8368024444167315,0.00154622415495639,1
267,CD94:NKG2C_HLA-E,"['KLRD1', 'KLRC2']",HLA-E,CD8 T cell,Podocytes,False,NA,NA,"[0.3290322580645161, 0.10967741935483873]",True,-56.6277070258774,0.000458079848881171,1
907,NOTCH2_DLL4,NOTCH2,DLL4,DC,Endothelium,True,-5.185172494183711,0.0035674841016713897,1,False,NA,NA,0.2003105590062112
361,CD74_APP,CD74,APP,Endothelium,Proximal_tubular_cells,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.43685300207039335
533,CD74_APP,CD74,APP,B cell,B cell,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.32432432432432434
1474,HLA-E_KLRK1,HLA-E,KLRK1,Neutrophil,CD8 T cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.14838709677419354
987,SIRPA_CD47,SIRPA,CD47,MNP,Podocytes,True,-5.34035938616956,0.0190914441331754,1,True,-5.21611639328334,0.00179869684824925,1
21,COL4A3_a1b1 complex,COL4A3,"['ITGA1', 'ITGB1']",Distal_tubules_and_collecting_duct,Endothelium,True,-11.1362155380015,0.0132613800893692,1,False,NA,NA,"[0.3633540372670808, 0.6749482401656315]"
1582,CD47_SIRB1 complex,CD47,"['SIRPB1', 'TYROBP']",Loop_of_Henle,MNP,True,-5.21611639328334,0.00179869684824925,1,False,NA,NA,"[0.1934065934065934, 0.9813186813186812]"
491,CD74_APP,CD74,APP,Private,B cell,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.32432432432432434
