,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
260,FCER2_aXb2 complex,FCER2,"['ITGB2', 'ITGAX']",B cell,NK cell,False,NA,NA,0.2432432432432433,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
175,FN1_a4b7 complex,FN1,"['ITGB7', 'ITGA4']",Distal_tubules_and_collecting_duct,DC,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.17391304347826084, 0.2608695652173913]"
1170,CD55_ADGRE5,CD55,ADGRE5,NK cell,NK cell,False,NA,NA,0.4067796610169492,True,4.21690878715005,0.00312233850766636,1
1218,HLA-E_KLRC2,HLA-E,KLRC2,Loop_of_Henle,NK cell,False,NA,NA,0.27236315086782376,True,3.55694751490934,0.0007746719235593231,1
93,COL18A1_a2b1 complex,COL18A1,"['ITGB1', 'ITGA2']",Mesangial_cells,Distal_tubules_and_collecting_duct,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.759009009009009, 0.34459459459459457]"
708,TNF_TNFRSF1B,TNF,TNFRSF1B,Mast cell,DC,False,NA,NA,0.1153846153846154,True,6.01061393679651,1.97712117390567e-06,1
809,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,Distal_tubules_and_collecting_duct,MNP,True,2.2879426863802403,0.0497834188612391,1,False,NA,NA,0.4780219780219781
840,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,Proximal_tubular_cells,MNP,True,2.2879426863802403,0.0497834188612391,1,False,NA,NA,0.4780219780219781
917,TNFSF14_TNFRSF14,TNFSF14,TNFRSF14,Private,Private,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.3
91,COL18A1_a2b1 complex,COL18A1,"['ITGB1', 'ITGA2']",Endothelium,Distal_tubules_and_collecting_duct,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.759009009009009, 0.34459459459459457]"
5,COL6A2_a10b1 complex,COL6A2,"['ITGA10', 'ITGB1']",Mesangial_cells,Mesangial_cells,True,4.61594485015236,0.00245883333636735,1,False,NA,NA,"[0.1694915254237288, 0.7288135593220338]"
1182,PTPRC_CD22,PTPRC,CD22,MNP,Mast cell,True,4.410688292133,4.76772725790391e-05,1,False,NA,NA,0.1153846153846154
517,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",CD8 T cell,CD8 T cell,False,NA,NA,0.6064516129032258,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
896,TNFSF14_TNFRSF14,TNFSF14,TNFRSF14,NK cell,Mesangial_cells,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.1271186440677966
364,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",Endothelium,NK cell,False,NA,NA,0.4384057971014493,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
568,HLA-F_KIR3DL1,HLA-F,KIR3DL1,Podocytes,NK cell,False,NA,NA,0.12355212355212356,True,12.558750138482301,7.46798130740353e-05,1
359,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",Distal_tubules_and_collecting_duct,Private,False,NA,NA,0.15990990990990991,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
217,FN1_aVb5 complex,FN1,"['ITGAV', 'ITGB5']",Endothelium,Distal_tubules_and_collecting_duct,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.463963963963964, 0.13963963963963966]"
548,HLA-A_KIR3DL1,HLA-A,KIR3DL1,Endothelium,NK cell,False,NA,NA,0.915631469979296,True,12.558750138482301,7.46798130740353e-05,1
1016,CSF1R_CSF1,CSF1R,CSF1,MNP,CD8 T cell,True,2.2629902320248703,0.00140684730550683,1,False,NA,NA,0.1032258064516129
763,NKG2D II receptor_MICA,"['HCST', 'KLRK1']",MICA,CD8 T cell,Distal_tubules_and_collecting_duct,True,"[2.20438656911878, 1.6996193448401398]","[0.00430246688582166, 0.0373947054533458]","[1, 1]",False,NA,NA,0.2612612612612613
